EMD,EMD_error,trial_index,arm_name,filters_1,kernel_1,pooling_1,stride_1,learning_rate,batch_size,trial_status,generation_method,units_1,units_2,OPs,info
1.607,0.508,40,40_0,4,3,False,1,0.0485672719089367,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,41,41_0,4,3,False,1,0.048541992008751,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,42,42_0,4,3,False,1,0.0485817619859925,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,43,43_0,4,3,False,1,0.0486680010220261,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,44,44_0,4,3,False,1,0.0485438498508005,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,45,45_0,4,3,False,1,0.0486721293984623,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,46,46_0,4,3,False,1,0.0487209382622596,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,47,47_0,4,3,False,1,0.0487452398428066,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,48,48_0,4,3,False,1,0.0488164518842833,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
1.607,0.508,49,49_0,4,3,False,1,0.046990301389181,50,COMPLETED,GPEI,32.0,,10288,"C: [4], K: [3], P: ['False'], S: [1], D: [32]"
